config,budget,top1,top3,top5,avg_at_5,trace_latency_weight,trace_error_weight,trace_volume_weight,metric_weight,delta_vs_baseline
baseline,0.1,1,1,1,1.0,2.5,4.0,0.6,0.8,0.0
baseline,0.25,0.41797752808988764,1,1,0.8256179775280899,2.5,4.0,0.6,0.8,0.0
baseline,0.5,0.24943820224719102,0.6539325842696629,1,0.6420224719101124,2.5,4.0,0.6,0.8,0.0
trace_heavier_metric_lighter,0.1,1,1,1,1.0,3.75,6.0,0.9,0.4,0.0
trace_heavier_metric_lighter,0.25,0.4157303370786517,1,1,0.8233707865168539,3.75,6.0,0.9,0.4,-0.0022471910112359383
trace_heavier_metric_lighter,0.5,0.2640449438202247,0.6640449438202247,1,0.6417977528089888,3.75,6.0,0.9,0.4,-0.00022471910112364935
trace_lighter_metric_heavier,0.1,1,1,1,1.0,1.25,2.0,0.3,1.2,0.0
trace_lighter_metric_heavier,0.25,0.41235955056179774,1,1,0.8244943820224719,1.25,2.0,0.3,1.2,-0.0011235955056179137
trace_lighter_metric_heavier,0.5,0.24157303370786518,0.6629213483146067,1,0.64,1.25,2.0,0.3,1.2,-0.0020224719101124
error_lighter,0.1,1,1,1,1.0,2.5,2.0,0.6,0.8,0.0
error_lighter,0.25,0.4280898876404494,1,1,0.8283146067415731,2.5,2.0,0.6,0.8,0.002696629213483237
error_lighter,0.5,0.2550561797752809,0.6539325842696629,1,0.6440449438202247,2.5,2.0,0.6,0.8,0.002022471910112289
error_heavier,0.1,1,1,1,1.0,2.5,6.0,0.6,0.8,0.0
error_heavier,0.25,0.41235955056179774,1,1,0.8240449438202248,2.5,6.0,0.6,0.8,-0.0015730337078651013
error_heavier,0.5,0.24943820224719102,0.6494382022471911,1,0.6395505617977528,2.5,6.0,0.6,0.8,-0.0024719101123595877
